Loyalty#,Province or State,City,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,Education Encoded,LoyaltyStatus Encoded,FlightsTotal,KMPerFlight,FlightsRatioAccompanied,DistanceRatioRedeemedPoints,Flights2019,FlightsJan,FlightsFeb,FlightsMar,FlightsApr,FlightsMay,FlightsJun,FlightsJul,FlightsAug,FlightsSep,FlightsOct,FlightsNov,FlightsDec,Flights2020,Flights2021,FlightsGrowth2020vs2019%,FlightsGrowth2021vs2020%,MonthlyFlightVariance,CLVperPointsRedeemed,Months Enrolled
917352,Quebec,Montreal,female,Bachelor,Urban,43723.0,Married,Aurora,2020-07-21,2021-09-22,5000.62,Standard,3,3,82,3094.78,0.15,0.0,12,3,5,11,9,1,0,13,5,14,21,0,0,13,57,8.33,338.46,16.33818253968254,0.0,14
111646,Ontario,Toronto,female,Bachelor,Rural,48567.0,Single,Aurora,2017-11-17,2021-01-14,5015.01,Standard,3,3,153,1207.58,0.39,0.07,72,1,8,23,0,6,38,17,0,21,19,21,0,80,1,11.11,-98.75,32.750571428571426,0.37,38
410460,Ontario,Toronto,female,Bachelor,Rural,34452.0,Married,Aurora,2020-01-12,2020-09-12,5048.05,Standard,3,3,112,1878.06,0.34,0.04,53,0,6,15,21,21,17,0,15,17,0,0,0,59,0,11.32,-100.0,18.004087301587308,0.6,8
259634,British Columbia,Whistler,male,Bachelor,Rural,23840.0,Married,Aurora,2016-05-11,2021-05-26,5070.35,Standard,3,3,139,2899.76,0.39,0.0,61,9,3,0,19,27,11,25,13,15,4,13,0,68,10,11.48,-85.29,20.823999999999998,0.0,60
468542,British Columbia,Vancouver,male,Bachelor,Suburban,76448.0,Married,Aurora,2021-04-18,2021-12-18,5111.3,2021 Promotion,3,3,24,1198.12,0.17,0.0,0,0,0,0,0,0,0,0,5,11,8,0,0,0,24,0.0,0.0,5.542857142857143,0.0,8
837646,Ontario,Toronto,female,College,Rural,0.0,Single,Aurora,2017-03-15,2021-04-13,5121.56,Standard,2,3,85,3441.09,0.21,0.03,30,24,10,6,11,6,0,15,0,0,0,6,8,33,22,10.0,-33.33,13.629420634920638,0.64,49
748286,Quebec,Montreal,male,College,Urban,0.0,Single,Aurora,2019-11-15,2020-07-15,5153.92,Standard,2,3,127,762.2,0.27,0.27,60,23,19,28,0,0,25,32,0,0,0,0,0,67,0,11.67,-100.0,35.07780158730158,0.2,8
182587,Ontario,Toronto,male,College,Urban,0.0,Single,Aurora,2017-01-06,2020-12-30,5156.07,Standard,2,3,171,1737.74,0.42,0.05,81,0,11,0,25,28,2,13,34,10,23,15,10,90,0,11.11,-100.0,31.713428571428565,0.32,48
818391,Quebec,Hull,female,Bachelor,Suburban,43906.0,Divorced,Aurora,2021-07-18,2021-12-29,5157.05,Standard,3,3,38,1489.92,0.03,0.09,0,0,0,0,0,0,0,0,17,5,13,0,3,0,38,0.0,0.0,12.911111111111111,1.06,5
613925,Quebec,Montreal,female,Bachelor,Urban,83527.0,Married,Aurora,2020-03-04,2020-11-04,5182.94,Standard,3,3,76,1142.45,0.14,0.0,36,0,0,0,0,28,0,0,30,17,0,0,0,40,0,11.11,-100.0,24.479301587301592,0.0,8
653304,Ontario,Toronto,female,Bachelor,Rural,49312.0,Married,Aurora,2021-02-06,2021-10-06,5184.95,2021 Promotion,3,3,30,2323.83,0.2,0.08,0,0,0,0,3,3,18,0,0,0,6,0,0,0,30,0.0,0.0,10.085714285714285,0.89,8
400478,Ontario,Thunder Bay,female,Bachelor,Rural,80521.0,Single,Aurora,2020-07-20,2020-12-26,5187.65,Standard,3,3,57,1655.96,0.23,0.0,27,0,0,0,0,0,0,0,8,25,19,0,6,30,0,11.11,-100.0,12.625428571428571,0.0,5
359188,Quebec,Montreal,female,Bachelor,Urban,85721.0,Married,Aurora,2020-04-27,2020-08-18,5218.34,Standard,3,3,55,1011.76,0.24,0.0,26,0,0,0,0,19,13,13,10,0,0,0,0,29,0,11.54,-100.0,9.122753968253969,0.0,4
627107,Ontario,Toronto,male,College,Suburban,0.0,Married,Aurora,2019-05-11,2020-01-11,5220.28,Standard,2,3,17,1284.94,0.0,0.0,8,17,0,0,0,0,0,0,0,0,0,0,0,9,0,12.5,-100.0,3.9567857142857137,0.0,8
650290,Manitoba,Winnipeg,male,High School or Below,Rural,26540.0,Divorced,Aurora,2016-01-16,2020-11-28,5229.68,Standard,1,3,112,1802.27,0.24,0.03,53,15,6,0,11,0,2,13,27,4,19,15,0,59,0,11.32,-100.0,17.073230158730166,0.74,58
430712,Ontario,Toronto,male,Bachelor,Urban,69231.0,Married,Aurora,2020-11-24,2021-07-24,5233.95,Standard,3,3,46,2395.04,0.13,0.04,3,6,11,2,8,0,10,3,0,0,0,0,6,3,40,0.0,1233.33,8.350753968253972,1.29,8
161373,Ontario,Toronto,male,Bachelor,Suburban,36615.0,Married,Aurora,2020-04-08,2020-12-08,5243.83,Standard,3,3,65,2114.65,0.17,0.05,31,0,0,0,0,0,17,30,11,0,0,6,0,34,0,9.68,-100.0,16.442825396825395,0.76,8
391357,British Columbia,West Vancouver,female,Bachelor,Urban,28909.0,Married,Aurora,2020-05-01,2021-01-01,5246.28,Standard,3,3,104,1368.12,0.31,0.0,45,9,0,0,0,13,11,13,30,10,0,17,0,50,9,11.11,-82.0,19.38044444444444,0.0,8
328173,British Columbia,Vancouver,female,College,Rural,0.0,Single,Aurora,2016-03-16,2021-07-11,5247.85,Standard,2,3,160,2149.86,0.36,0.01,56,6,13,13,26,24,11,36,10,0,0,21,0,62,42,10.71,-32.26,28.292730158730155,1.56,64
483747,Quebec,Hull,female,Bachelor,Rural,44536.0,Single,Aurora,2019-11-25,2020-07-25,5255.58,Standard,3,3,116,1153.34,0.13,0.05,55,17,21,25,10,15,11,17,0,0,0,0,0,61,0,10.91,-100.0,19.178182539682542,0.73,8
727053,Quebec,Montreal,female,Bachelor,Rural,60260.0,Married,Aurora,2020-06-30,2021-02-28,5272.7,Standard,3,3,71,3778.58,0.35,0.06,30,5,3,0,0,0,0,13,6,15,11,10,8,33,8,10.0,-75.76,7.295515873015873,0.32,8
113316,British Columbia,Whistler,male,Bachelor,Suburban,38606.0,Single,Aurora,2020-12-06,2021-08-06,5282.54,Standard,3,3,53,2445.45,0.49,0.04,0,1,1,11,10,15,0,7,8,0,0,0,0,0,53,0.0,0.0,13.79920634920635,1.15,8
638754,British Columbia,Vancouver,female,Bachelor,Urban,41336.0,Divorced,Aurora,2020-02-13,2020-03-24,5350.21,Standard,3,3,6,1008.0,0.33,0.0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0.0,-100.0,0.4396428571428572,0.0,1
906564,Quebec,Montreal,female,College,Urban,0.0,Single,Aurora,2016-11-26,2020-07-28,5357.76,Standard,2,3,38,3128.39,0.05,0.0,18,21,0,0,6,0,0,11,0,0,0,0,0,20,0,11.11,-100.0,7.438539682539683,0.0,44
612650,Ontario,Toronto,female,College,Rural,0.0,Single,Aurora,2017-02-10,2020-09-11,5375.66,Standard,2,3,135,1975.7,0.17,0.02,64,11,17,0,8,25,0,21,32,21,0,0,0,71,0,10.94,-100.0,28.635134920634925,1.17,43
343978,Ontario,Toronto,male,Bachelor,Urban,69050.0,Married,Aurora,2019-11-11,2020-07-11,5375.84,Standard,3,3,97,1575.76,0.39,0.06,46,2,2,21,19,21,28,4,0,0,0,0,0,51,0,10.87,-100.0,22.180214285714285,0.57,8
252147,Quebec,Tremblant,male,Bachelor,Rural,30514.0,Single,Aurora,2021-04-27,2021-12-27,5384.02,2021 Promotion,3,3,46,2022.65,0.54,0.0,0,0,0,0,0,12,14,0,0,0,7,0,13,0,46,0.0,0.0,14.263492063492064,0.0,8
535525,Quebec,Montreal,male,Bachelor,Urban,59364.0,Married,Aurora,2020-08-11,2021-04-11,5384.53,Standard,3,3,93,2075.15,0.17,0.0,38,6,4,0,3,0,0,0,0,10,17,25,28,42,13,10.53,-69.05,20.76520634920635,0.0,8
386082,Alberta,Edmonton,female,Bachelor,Rural,41662.0,Divorced,Aurora,2021-03-22,2021-11-22,5391.97,2021 Promotion,3,3,41,2391.32,0.39,0.0,0,0,0,0,2,0,0,13,16,5,0,5,0,0,41,0.0,0.0,12.351587301587303,0.0,8
334273,New Brunswick,Fredericton,female,Bachelor,Suburban,21881.0,Married,Aurora,2019-11-16,2021-08-27,5420.34,Standard,3,3,190,1668.62,0.32,0.08,76,3,13,3,20,0,51,23,27,0,21,25,4,85,28,11.84,-67.06,36.36637301587301,0.23,21
308629,Ontario,Toronto,female,College,Urban,0.0,Married,Aurora,2019-01-26,2021-06-07,5426.14,Standard,2,3,160,2179.52,0.31,0.0,58,24,8,0,9,21,18,34,4,19,0,0,23,64,38,10.34,-40.62,35.53657142857143,0.0,28
564141,Ontario,Toronto,male,College,Suburban,0.0,Single,Aurora,2017-01-15,2021-09-25,5435.77,Standard,2,3,175,1960.46,0.14,0.0,51,0,0,20,16,10,24,35,19,4,8,19,21,57,67,11.76,17.54,21.561611111111112,0.0,56
405739,New Brunswick,Fredericton,male,College,Rural,0.0,Married,Aurora,2016-08-18,2020-12-06,5447.81,Standard,2,3,160,2008.92,0.3,0.13,76,21,10,6,0,4,32,25,17,8,15,2,21,84,0,10.53,-100.0,26.326857142857147,0.13,52
107519,Quebec,Hull,female,Bachelor,Rural,54507.0,Married,Aurora,2021-02-06,2021-10-06,5470.06,2021 Promotion,3,3,76,2210.47,0.22,0.02,0,0,0,3,13,14,1,13,11,11,10,0,0,0,76,0.0,0.0,20.73015873015873,1.35,8
636745,Alberta,Calgary,female,Bachelor,Suburban,78879.0,Married,Aurora,2018-11-19,2020-02-19,5509.9,Standard,3,3,4,4118.25,1.0,0.0,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0.0,-100.0,0.19539682539682537,0.0,15
957276,Ontario,Toronto,male,Bachelor,Urban,50648.0,Married,Aurora,2018-07-07,2020-11-20,5531.63,Standard,3,3,186,1302.73,0.3,0.1,88,21,13,21,23,0,28,15,25,19,0,21,0,98,0,11.36,-100.0,30.093492063492068,0.24,28
343425,British Columbia,Vancouver,male,Bachelor,Rural,91212.0,Married,Aurora,2019-01-29,2020-04-02,5532.75,Standard,3,3,57,1839.96,0.23,0.06,27,11,2,27,17,0,0,0,0,0,0,0,0,30,0,11.11,-100.0,13.659714285714285,0.9,14
955567,Ontario,London,female,Bachelor,Urban,33255.0,Married,Aurora,2021-01-23,2021-09-23,5553.19,Standard,3,3,27,2767.3,0.26,0.0,0,0,5,8,1,1,0,0,1,11,0,0,0,0,27,0.0,0.0,5.507142857142856,0.0,8
845947,British Columbia,Vancouver,female,Bachelor,Urban,74015.0,Single,Aurora,2020-12-12,2021-08-12,5555.83,Standard,3,3,70,2147.84,0.47,0.06,0,4,11,2,6,6,19,14,8,0,0,0,0,0,70,0.0,0.0,19.93968253968254,0.57,8
958026,Ontario,Toronto,male,Bachelor,Suburban,92678.0,Divorced,Aurora,2020-06-16,2021-07-03,5561.29,Standard,3,3,97,2439.22,0.33,0.03,23,6,0,8,0,7,11,35,10,0,4,4,13,26,48,13.04,84.62,16.911396825396828,0.94,13
665373,British Columbia,Vancouver,male,Bachelor,Suburban,49833.0,Married,Aurora,2019-09-23,2020-05-23,5564.74,Standard,3,3,65,1026.15,0.0,0.0,31,25,8,0,8,25,0,0,0,0,0,0,0,34,0,9.68,-100.0,15.822253968253962,0.0,8
670289,Ontario,Toronto,female,Bachelor,Suburban,53565.0,Married,Aurora,2020-12-30,2021-08-30,5569.46,Standard,3,3,33,2874.09,0.24,0.0,0,7,3,0,3,1,10,0,9,0,0,0,0,0,33,0.0,0.0,6.250000000000001,0.0,8
